지역명,규모구분,연도,월,분양가격(제곱미터)
경기,전용면적 60제곱미터이하,2015,12,3293
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"3,314"
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,12,3449
경기,전용면적 102제곱미터초과,2015,12,"3,850"
부산,모든면적,2015,12,3127
부산,전용면적 60제곱미터이하,2015,12,"2,951"
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3032
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,957"
부산,전용면적 102제곱미터초과,2015,12,3739
대구,모든면적,2015,12,"2,962"
대구,전용면적 60제곱미터이하,2015,12,3282
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,971"
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2532
대구,전용면적 102제곱미터초과,2015,12,"2,743"
광주,모든면적,2015,12,2476
광주,전용면적 60제곱미터이하,2015,12,"2,395"
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2489
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,  
광주,전용면적 102제곱미터초과,2015,12,  
대전,모든면적,2015,12,"2,454"
대전,전용면적 60제곱미터이하,2015,12,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,428"
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2461
대전,전용면적 102제곱미터초과,2015,12,  
울산,모든면적,2015,12,3043
울산,전용면적 60제곱미터이하,2015,12,"2,584"
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,12,3048
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,663"
울산,전용면적 102제곱미터초과,2015,12,2874
세종,모든면적,2015,12,"2,665"
세종,전용면적 60제곱미터이하,2015,12,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,676"
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2661
세종,전용면적 102제곱미터초과,2015,12,"2,752"
강원,모든면적,2015,12,2171
강원,전용면적 60제곱미터이하,2015,12,"2,292"
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2193
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,061"
강원,전용면적 102제곱미터초과,2015,12,2171
충북,모든면적,2015,12,"2,005"
충북,전용면적 60제곱미터이하,2015,12,1941
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,017"
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2276
충북,전용면적 102제곱미터초과,2015,12,"2,261"
충남,모든면적,2015,12,2269
충남,전용면적 60제곱미터이하,2015,12,"2,438"
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2279
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,523"
충남,전용면적 102제곱미터초과,2015,12,2444
전북,모든면적,2015,12,"1,983"
전북,전용면적 60제곱미터이하,2015,12,1925
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"1,987"
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2377
전북,전용면적 102제곱미터초과,2015,12,"2,282"
전남,모든면적,2015,12,1909
전남,전용면적 60제곱미터이하,2015,12,"1,999"
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,262"
전남,전용면적 102제곱미터초과,2015,12,2176
경북,모든면적,2015,12,"2,181"
경북,전용면적 60제곱미터이하,2015,12,2178
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,184"
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2516
경북,전용면적 102제곱미터초과,2015,12,"2,370"
경남,모든면적,2015,12,2307
경남,전용면적 60제곱미터이하,2015,12,"2,280"
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2329
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,"2,934"
경남,전용면적 102제곱미터초과,2015,12,3019
제주,모든면적,2015,12,"2,268"
제주,전용면적 60제곱미터이하,2015,12,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,"2,260"
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2583
제주,전용면적 102제곱미터초과,2015,12,"2,574"
서울,모든면적,2016,1,6108
서울,전용면적 60제곱미터이하,2016,1,"6,427"
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,1,6036
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"6,513"
서울,전용면적 102제곱미터초과,2016,1,6551
인천,모든면적,2016,1,"3,191"
인천,전용면적 60제곱미터이하,2016,1,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"3,110"
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,1,3545
인천,전용면적 102제곱미터초과,2016,1,"3,408"
경기,모든면적,2016,1,3198
경기,전용면적 60제곱미터이하,2016,1,"3,293"
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3313
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"3,450"
경기,전용면적 102제곱미터초과,2016,1,3850
부산,모든면적,2016,1,"3,152"
부산,전용면적 60제곱미터이하,2016,1,2951
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"3,057"
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2957
부산,전용면적 102제곱미터초과,2016,1,"3,812"
대구,모든면적,2016,1,3086
대구,전용면적 60제곱미터이하,2016,1,"3,341"
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,1,3103
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,532"
대구,전용면적 102제곱미터초과,2016,1,2743
광주,모든면적,2016,1,"2,569"
광주,전용면적 60제곱미터이하,2016,1,2395
